iter	Passed	Remaining
414	2832	10819
415	2838	10806
416	2842	10791
417	2848	10779
418	2854	10769
419	2858	10754
420	2868	10757
421	2872	10741
422	2881	10742
423	2890	10743
424	2895	10729
425	2899	10713
426	2908	10714
427	2914	10703
428	2921	10698
429	2928	10693
430	2934	10682
431	2943	10685
432	2951	10682
433	2957	10672
434	2962	10656
435	2969	10652
436	2975	10643
437	2982	10635
438	2989	10630
439	2997	10625
440	3002	10613
441	3010	10610
442	3015	10597
443	3023	10595
444	3031	10592
445	3038	10586
446	3045	10581
447	3056	10587
448	3061	10576
449	3067	10567
450	3078	10572
451	3089	10580
452	3095	10570
453	3103	10568
454	3109	10557
455	3114	10544
456	3122	10541
457	3127	10528
458	3133	10519
459	3140	10513
460	3145	10501
461	3151	10492
462	3159	10489
463	3165	10478
464	3174	10479
465	3182	10475
466	3186	10460
467	3195	10460
468	3199	10443
469	3203	10426
470	3212	10427
471	3217	10416
472	3224	10408
473	3231	10403
474	3237	10392
475	3239	10373
476	3245	10361
477	3254	10363
478	3258	10347
479	3264	10338
480	3270	10327
481	3275	10315
482	3283	10313
483	3287	10297
484	3297	10300
485	3305	10296
486	3313	10294
487	3321	10289
488	3327	10280
489	3335	10279
490	3341	10271
491	3346	10258
492	3354	10253
493	3358	10239
494	3363	10227
495	3370	10219
496	3376	10209
497	3383	10204
498	3389	10194
499	3395	10185
500	3398	10167
501	3402	10153
502	3409	10146
503	3416	10141
504	3422	10133
505	3428	10122
506	3432	10108
507	3437	10094
508	3443	10086
509	3452	10085
510	3459	10082
511	3466	10075
512	3472	10066
513	3478	10055
514	3484	10046
515	3490	10039
516	3496	10031
517	3503	10023
518	3509	10015
519	3514	10002
520	3519	9990
521	3529	9992
522	3532	9975
523	3539	9970
524	3544	9957
525	3549	9947
526	3556	9940
527	3560	9926
528	3566	9916
529	3573	9910
530	3578	9900
531	3583	9889
532	3592	9888
533	3600	9883
534	3604	9870
535	3610	9861
536	3620	9863
537	3623	9847
538	3631	9842
539	3637	9834
540	3645	9830
541	3651	9822
542	3655	9809
543	3661	9800
544	3671	9802
545	3677	9794
546	3684	9786
547	3690	9777
548	3694	9764
549	3701	9759
550	3709	9753
551	3713	9739
552	3718	9730
553	3726	9726
554	3734	9723
555	3740	9714
556	3749	9712
557	3755	9705
558	3763	9700
559	3770	9696
560	3776	9686
561	3781	9675
562	3790	9674
563	3793	9658
564	3798	9648
565	3803	9635
566	3808	9626
567	3815	9618
568	3819	9606
569	3826	9598
570	3831	9588
571	3840	9587
572	3847	9582
573	3856	9579
574	3862	9571
575	3869	9565
576	3875	9557
577	3879	9543
578	3885	9535
579	3888	9520
580	3894	9511
581	3899	9501
582	3907	9497
583	3914	9490
584	3918	9477
585	3923	9466
586	3927	9454
587	3931	9440
588	3939	9437
589	3942	9423
590	3950	9418
591	3956	9411
592	3964	9406
593	3973	9405
594	3980	9399
