iter	Logloss
0	0.6797308542
1	0.6666142027
2	0.6549752549
3	0.6436640892
4	0.6317453964
5	0.6197984465
6	0.609900841
7	0.5994537766
8	0.5899714441
9	0.5806283837
10	0.5720475225
11	0.5631847263
12	0.5555676433
13	0.5483459474
14	0.5412375624
15	0.5340722394
16	0.5273344812
17	0.520590012
18	0.5150062374
19	0.5091333223
20	0.5031785677
21	0.4976860635
22	0.4922490844
23	0.4873533343
24	0.4828365469
25	0.4784423245
26	0.4737868655
27	0.4698881663
28	0.4661948253
29	0.462184546
30	0.4580477456
31	0.4544488186
32	0.450725737
33	0.447671889
34	0.444170343
35	0.441045605
36	0.4376213067
37	0.4345829648
38	0.4319481692
39	0.4295590688
40	0.427180353
41	0.4249364587
42	0.4224971667
43	0.4202849556
44	0.417681596
45	0.4158840575
46	0.4135620678
47	0.4116660534
48	0.4099183886
49	0.4077475035
50	0.40569
51	0.4038176509
52	0.4020436364
53	0.4003945535
54	0.3986104018
55	0.3971119292
56	0.3948295346
57	0.3934450792
58	0.391814646
59	0.3902834305
60	0.3885302203
61	0.3865766321
62	0.3848375504
63	0.3834421454
64	0.3819194423
65	0.3806614727
66	0.3791869832
67	0.3781375861
68	0.3764123504
69	0.3749314678
70	0.3741941347
71	0.373273166
72	0.3717477432
73	0.3704272547
74	0.3690261277
75	0.3677231233
76	0.3665420836
77	0.3657514506
78	0.3647078462
79	0.3636370797
80	0.3627704705
81	0.3618556124
82	0.3612732341
83	0.3598566716
84	0.3587279781
85	0.3579884198
86	0.3569734963
87	0.3562154297
88	0.3549716945
89	0.354090533
90	0.3534790499
91	0.3530249587
92	0.3523135162
93	0.3516730696
94	0.3507031455
95	0.350111513
96	0.349633474
97	0.3490797059
98	0.3480158624
99	0.347389403
100	0.3463312109
101	0.3453917338
102	0.3447341564
103	0.3438043927
104	0.3431058071
105	0.3422088923
106	0.3412980608
107	0.3403968367
108	0.3397522575
109	0.3387651672
110	0.3381223188
111	0.3373706806
112	0.3370469958
113	0.336455328
114	0.335824842
115	0.3351706201
116	0.3345277363
117	0.3337397172
118	0.332887943
119	0.3323484801
120	0.331708422
121	0.3307771748
122	0.3304562451
123	0.3296776214
124	0.3289002339
125	0.3282046154
126	0.3276643048
127	0.3270936179
128	0.3266786274
129	0.3261334425
130	0.3256003374
131	0.3250407767
132	0.3245747822
133	0.3242128444
134	0.3233322833
135	0.3225545074
136	0.3221908388
137	0.321669849
138	0.3213954728
139	0.3206783083
140	0.3202883606
141	0.3198970355
142	0.3194099541
143	0.3190189115
144	0.3185048094
145	0.3180167744
146	0.3174566485
147	0.316889741
148	0.3162333291
149	0.3158769368
150	0.3154290621
151	0.3152030055
152	0.3147621598
153	0.3141327688
154	0.3136151699
155	0.3132753785
156	0.3126477889
157	0.3119946973
158	0.3113973074
159	0.3108376407
160	0.3102256631
161	0.3098221874
162	0.3092359591
163	0.3084105699
164	0.3081602122
165	0.3072717392
166	0.3066846278
167	0.3061549843
168	0.3056887072
169	0.3051456769
170	0.3046273715
171	0.3043573751
172	0.3040585566
173	0.3036446611
174	0.3031387181
175	0.3025546444
176	0.3022286991
177	0.301442234
178	0.3011908167
179	0.300541787
180	0.3001597867
181	0.2998478992
182	0.2993996007
183	0.2991029015
184	0.2983903993
185	0.2978239156
186	0.2972367336
187	0.2967000611
188	0.2962012001
189	0.2957924086
190	0.2951652958
191	0.294918064
192	0.2946643155
193	0.2941762098
194	0.293817451
195	0.2932843459
196	0.2927978651
197	0.2924078821
198	0.2922307103
199	0.2919356181
200	0.2916130283
201	0.2911754498
202	0.2907315312
203	0.2902977851
204	0.2898310842
205	0.2895988463
206	0.2893370445
207	0.2889658172
208	0.2886171955
209	0.2883600208
210	0.2880263578
211	0.2876504151
212	0.2874378512
213	0.287094775
214	0.2866466355
215	0.2863099877
216	0.2857058515
217	0.2851289833
218	0.2846314469
219	0.2840782616
220	0.283856373
221	0.2836145101
222	0.2832741889
223	0.2829110679
224	0.2825995336
225	0.282359631
226	0.281889239
227	0.281591957
228	0.2809106082
229	0.2806287086
230	0.2805072915
231	0.279880161
232	0.279495282
233	0.2792024328
234	0.2788185604
235	0.2781489384
236	0.2778914105
237	0.2772233779
238	0.27675371
239	0.2764563573
240	0.2759478182
241	0.2756059076
242	0.2749619289
243	0.2745707803
244	0.2742711141
245	0.2739458045
246	0.2735240323
247	0.273110702
248	0.2728685212
249	0.2723271863
250	0.2716915964
251	0.2712413552
252	0.2708603968
253	0.2706548266
254	0.2700016467
255	0.2696930794
256	0.2694327258
257	0.2691219686
258	0.2688398924
259	0.2685401378
260	0.2682064041
261	0.2678548508
262	0.2674914295
263	0.2671356552
264	0.2665289582
265	0.2659145081
266	0.2655814278
267	0.2652169822
268	0.2648298956
269	0.264607689
270	0.2643241646
271	0.2641016578
272	0.2637995014
273	0.263049488
274	0.2627045574
275	0.2624365037
276	0.2623193251
277	0.2619584823
278	0.2618409682
279	0.2614259424
280	0.2612074093
281	0.2605253188
282	0.2602574771
283	0.260043677
284	0.2598854727
285	0.2596578266
286	0.2592399398
287	0.2588995303
288	0.2586823041
289	0.258227789
290	0.2578810924
291	0.2572337581
292	0.2569428162
293	0.2568103965
294	0.2563729064
295	0.2558601111
296	0.2556370568
297	0.2551911425
298	0.2547982455
299	0.2541722984
300	0.2537977332
301	0.2536242877
302	0.2533580178
303	0.2531033509
304	0.2529085184
305	0.2524231501
306	0.2521673
307	0.2518785127
308	0.2515364255
309	0.251379528
310	0.251186126
311	0.2507777583
312	0.2503249034
313	0.2499091358
314	0.249595447
315	0.2492218002
316	0.2488973206
317	0.2485495997
318	0.2484140187
319	0.2481860901
320	0.2477289966
321	0.2472400609
322	0.2468188185
323	0.2465705625
324	0.2462491559
325	0.2460674982
326	0.2457214727
327	0.2456169568
328	0.2452388772
329	0.2448420772
330	0.2445356999
331	0.2441261136
332	0.2439312104
333	0.2437567053
334	0.2434587168
335	0.2429547166
336	0.2424985767
337	0.2423093603
338	0.2419960776
339	0.2416248856
340	0.241131005
341	0.2409457092
342	0.2405159544
343	0.2403604699
344	0.239958301
345	0.239671633
346	0.2392677864
347	0.2391087521
348	0.2385740929
349	0.2382733493
350	0.2378669243
351	0.237667553
352	0.2371955362
353	0.2371091225
354	0.2370298791
355	0.2368319206
356	0.23650292
357	0.236353599
358	0.2361475343
359	0.2357845015
360	0.2354087354
361	0.2351650711
362	0.2347810751
363	0.2344565603
364	0.2340192644
365	0.2338297301
366	0.2335998058
367	0.2333966904
368	0.2330798226
369	0.2327723503
370	0.2324180419
371	0.2320943748
372	0.2316252367
373	0.2313896434
374	0.2312493647
375	0.2310651992
376	0.2308625076
377	0.2307215755
378	0.2305679453
379	0.2301646285
380	0.2297565787
381	0.2294841099
382	0.2293408465
383	0.2290718038
384	0.2286425436
385	0.2283242276
386	0.2280464429
387	0.2277632717
388	0.2275593969
389	0.2271605306
390	0.227021859
391	0.2264695392
392	0.2259899283
393	0.225481248
394	0.2249884799
395	0.2247107659
396	0.2245038005
397	0.2242205939
398	0.2236567417
399	0.2233046055
400	0.2228128265
401	0.2227007695
402	0.2222794919
403	0.2219018361
404	0.2217238871
405	0.221249963
406	0.2206024168
407	0.2204488396
408	0.2201125098
409	0.2197790233
410	0.2193364999
411	0.2192946441
412	0.2189856883
413	0.2186111761
414	0.2183735694
415	0.2179523271
416	0.2176789752
417	0.2174289707
418	0.2174118045
419	0.2172094133
420	0.2167655123
421	0.2165807463
422	0.2163235186
423	0.216006227
424	0.2157737419
425	0.2156091091
426	0.2154572627
427	0.2150873423
428	0.2148287017
429	0.214330141
430	0.2141174535
431	0.2138372846
432	0.2135978412
433	0.2133712018
434	0.2131924228
435	0.2129648298
436	0.2127642045
437	0.2122872075
438	0.2120355782
439	0.2118131244
440	0.2116451361
441	0.2113524634
442	0.2109536855
443	0.2105716851
444	0.2103037374
445	0.2101306275
446	0.2098432354
447	0.2096443233
448	0.2090738306
449	0.2087683363
450	0.2085407609
451	0.2082457217
452	0.207865717
453	0.2076671051
454	0.2075176605
455	0.2075007592
456	0.2072783584
457	0.2068472614
458	0.2065207156
459	0.2061754494
460	0.2058777258
461	0.2056508392
462	0.205303701
463	0.204922884
464	0.2046493202
465	0.2043835447
466	0.2041378671
467	0.2039191574
468	0.203805405
469	0.2036097424
470	0.2035942187
471	0.2035511443
472	0.2033118775
473	0.2031217074
474	0.2028287875
475	0.2024625758
476	0.2021680664
477	0.2020424637
478	0.2018173255
479	0.2017015421
480	0.2014482528
481	0.2010597886
482	0.2006661323
483	0.2004587077
484	0.2003600022
485	0.2001359942
486	0.1998824223
487	0.1997683344
488	0.1995704289
489	0.1993662185
490	0.199062455
491	0.1987370218
492	0.1984095753
493	0.19819053
494	0.1979304766
495	0.1977360679
496	0.197246673
497	0.196920604
498	0.1966974791
